ip_address,active_ports,hostname,macaddress,macaddrvendor,likely_os
192.168.0.1,"['53', '80', '5431', '31337', '49163']",SkyRouter.Home,,,Linux 3.10 - 4.11
192.168.0.2,['6668'],UNKNOWN,,,Philips Hue Bridge (lwIP stack)
192.168.0.3,[],UNKNOWN,,,Espressif ESP8266 WiFi system-on-a-chip
192.168.0.4,['6668'],UNKNOWN,,,Cisco 5300 router (IOS 12.3)
192.168.0.5,['6668'],wlan0,,,OSRAM Lightify ZigBee gateway
192.168.0.6,['6668'],,,,Philips Hue Bridge (lwIP stack)
192.168.0.7,['6668'],,,,OSRAM Lightify ZigBee gateway
192.168.0.8,['6668'],wlan0,,,Philips Hue Bridge (lwIP stack)
192.168.0.9,['6668'],UNKNOWN,,,OSRAM Lightify ZigBee gateway
192.168.0.11,['6668'],UNKNOWN,,,OSRAM Lightify ZigBee gateway
192.168.0.12,['6668'],wlan0,,,OSRAM Lightify ZigBee gateway
192.168.0.13,['6668'],UNKNOWN,,,OSRAM Lightify ZigBee gateway
192.168.0.14,['6668'],,,,OSRAM Lightify ZigBee gateway
192.168.0.15,[],wiz_8bba4a,,,Cisco 2600 router (IOS 11.3)
192.168.0.17,"['22', '53', '80', '443']",USG-4G,,,Linux 3.2 - 3.16
192.168.0.18,[],wiz_8bbd5c,,,Cisco 2600 router (IOS 11.3)
192.168.0.21,['6668'],host.docker.internal,,,OSRAM Lightify ZigBee gateway
192.168.0.22,['6668'],wlan0,,,OSRAM Lightify ZigBee gateway
192.168.0.25,"['80', '1234', '5000', '8008', '8080', '9091', '49153', '49155', '49160']",SKY+HD,,,HP PSC 2400-series Photosmart printer
192.168.0.29,"['5000', '8008', '8080', '9080', '9091', '49153', '49160']",SKY+HD,,,HP PSC 2400-series Photosmart printer
192.168.0.31,['22'],vpnsi,,,OpenWrt Designated Driver (Linux 4.4)
192.168.0.43,"['80', '1050']",PLW1000,,,Linux 2.6.31 - 2.6.35
